DATE,TIME,Temp,Turb,Stage,TRYPppb,TRYPTempCorr,Colicol100mL,CablePower
7/24/20,15:27:11,22.38,7.41,1.049,24.29,26.79,1186.72,4.69
7/24/20,15:27:16,22.39,6.7,1.045,21.62,23.84,1056.18,4.7
7/24/20,15:27:21,22.4,7.93,1.046,23.81,26.27,1163.7,4.79
7/24/20,15:27:26,22.4,6.78,1.06,23.15,25.55,1131.92,4.72
7/24/20,15:27:31,22.42,6.89,1.048,23.7,26.17,1159.21,4.69
7/24/20,15:27:36,22.41,6.34,1.056,25.22,27.84,1233.29,4.75
7/24/20,15:27:41,22.4,5.84,1.061,23.32,25.74,1140.04,4.72
7/24/20,15:27:46,22.41,5.5,1.065,21.56,23.8,1054.45,4.7
7/24/20,15:27:51,22.41,6.35,1.067,21.98,24.27,1075.03,4.64
7/24/20,15:27:56,22.42,5.72,1.065,23.74,26.22,1161.37,4.77
7/24/20,15:28:01,22.42,7.22,1.074,22.61,24.97,1106.14,4.74
7/24/20,15:28:06,22.43,9.6,1.048,24.33,26.88,1190.68,4.72
7/24/20,15:28:11,22.45,7.56,1.038,20.42,22.58,1000.33,4.72
7/24/20,15:28:16,22.48,9.74,1.043,21.24,23.51,1041.62,4.69
7/24/20,15:28:21,22.51,6.83,1.042,26.15,28.99,1284.29,4.67
7/24/20,15:28:26,22.5,7.02,1.043,24.09,26.69,1182.53,4.65
7/24/20,15:28:31,22.5,6.69,1.043,25,27.71,1227.42,4.72
7/24/20,15:28:36,22.5,7.67,1.034,25.49,28.25,1251.37,4.7
7/24/20,15:28:41,22.51,7.68,1.039,25.66,28.45,1260.11,4.75
